Sales Period,Total Views,Policy,Gross Revenue (USD),Exchange Rate,Tunecore Commision,Net Revenue,Net Revenue Currency,YouTube Video Link,Song Name,Album Name,Label Name,Artist Name
2015-02-01,5,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=-HeIegXqdTg,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,60,monetize,0.001473,1.2412,0.2,0.001462,CAD,http://www.youtube.com/watch?v=-f7k6oOjRPQ,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,3,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=-f7k6oOjRPQ,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=07sQC7FYuP0,Without Struggle,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,2,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=0FPmH48gHUk,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,3,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=0FlYOykRbO0,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,2677,monetize,0.583503,1.2412,0.2,0.579395,CAD,http://www.youtube.com/watch?v=2eDsg1kw20E,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,501,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=2eDsg1kw20E,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=3KH3161pSSg,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,3,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=3pimg8ybmo8,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,3,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=4E5qirsjcDo,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,29,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=4E5qirsjcDo,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,5,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=5euFv5PtxaA,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1284,monetize,1.624565,1.2412,0.2,1.613128,CAD,http://www.youtube.com/watch?v=5h2bRXIZsHo,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,8,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=5h2bRXIZsHo,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,6,monetize,0.000355,1.2412,0.2,0.000353,CAD,http://www.youtube.com/watch?v=6KeQsFgz98g,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=6UQ8dPwsWxw,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,3,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=6_NZU5fZXx8,Paper Touching,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,6,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=6xGPBZjFjgU,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=7IuaQhofBBs,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,100,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=7IuaQhofBBs,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,16,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=7_ZRr4kxbwo,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=7pGc1znC6Fk,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,60,monetize,0.000076,1.2412,0.2,0.000076,CAD,http://www.youtube.com/watch?v=7rRcGk4ltlA,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,62,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=8DtuR9M_kFg,Without Struggle,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,6,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=8EU0qLHA59g,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,9,monetize,0.000068,1.2412,0.2,0.000067,CAD,http://www.youtube.com/watch?v=97m0UWYPOek,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,4,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=97m0UWYPOek,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,3,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=9YoLdOWc04g,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,21,monetize,0.005364,1.2412,0.2,0.005326,CAD,http://www.youtube.com/watch?v=ATRhM9kCxfM,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=AYuM_VjdqJw,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,157,monetize,0.001788,1.2412,0.2,0.001775,CAD,http://www.youtube.com/watch?v=AePdCus51SY,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,7,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=AePdCus51SY,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,9,monetize,0.0003,1.2412,0.2,0.000298,CAD,http://www.youtube.com/watch?v=Anr6drJQdEw,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,62,monetize,0.00002,1.2412,0.2,0.00002,CAD,http://www.youtube.com/watch?v=AzKMvn_GXjc,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=AzKMvn_GXjc,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,60,monetize,0.000066,1.2412,0.2,0.000066,CAD,http://www.youtube.com/watch?v=B6nXUIvK9xs,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,15,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=B6nXUIvK9xs,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,36,monetize,0.000041,1.2412,0.2,0.000041,CAD,http://www.youtube.com/watch?v=BYqzRwVtT6E,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,2,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=BYqzRwVtT6E,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,4,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=BvRahl7L_wk,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,3,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=BvraVqPPX8I,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=C9mZF7vd93w,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,4,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=CPjabbJjH2k,Without Struggle,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,2,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=CTKgG8sqokE,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,2,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=CTKgG8sqokE,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,6,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=CXMHIqFBW7A,Without Struggle,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,7,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=Cd53DUxDsZY,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=Cd53DUxDsZY,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,51,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=CnwQZplHn6U,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,6,monetize,0.000149,1.2412,0.2,0.000148,CAD,http://www.youtube.com/watch?v=DKXLszA24c0,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,2,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=D_XyWWE90Qk,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,4,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=EdNcSpxUVBA,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,79,monetize,0.000816,1.2412,0.2,0.000811,CAD,http://www.youtube.com/watch?v=FZfHGk6zdg8,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,0,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=FgUQp9_a128,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,355,monetize,0.085935,1.2412,0.2,0.08533,CAD,http://www.youtube.com/watch?v=Fk2FG8JhCKA,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,61,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=Fk2FG8JhCKA,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,152,monetize,0.001522,1.2412,0.2,0.001512,CAD,http://www.youtube.com/watch?v=Ftki7vZXarg,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=Ftki7vZXarg,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,19240,monetize,6.955712,1.2412,0.2,6.906744,CAD,http://www.youtube.com/watch?v=G1EtGfo4MaU,Without Struggle,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,504,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=G1EtGfo4MaU,Without Struggle,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=G9xECej7ICY,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,4,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=GA7f8p0PD4o,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,130,monetize,0.016437,1.2412,0.2,0.016322,CAD,http://www.youtube.com/watch?v=Gz6zv4GWfcE,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,5,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=Gz6zv4GWfcE,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,2,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=Hhh7v5mOhz4,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=HrwaRJlBnFw,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,7,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=HyJTsyvZBGE,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=I-tYZ8xbC68,Bow Down (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=I-tYZ8xbC68,Bow Down (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=Imz1dph1GnA,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=J8A1rW1X-Fw,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,5,monetize,0.000302,1.2412,0.2,0.0003,CAD,http://www.youtube.com/watch?v=JMeCGui3SKo,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.000266,1.2412,0.2,0.000264,CAD,http://www.youtube.com/watch?v=J_h7fOkSMAw,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,85,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=J_h7fOkSMAw,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,21,monetize,0.000034,1.2412,0.2,0.000034,CAD,http://www.youtube.com/watch?v=Jev8dSSAmbI,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,3,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=JgTLNQW9tG8,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=JgTLNQW9tG8,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,2,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=JkMa_7mzorE,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=JxL3ZupDqf4,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=K3cPW41ypi4,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,104,monetize,0.001284,1.2412,0.2,0.001275,CAD,http://www.youtube.com/watch?v=KjOUsml55fM,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,3,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=KjOUsml55fM,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=L-2MsflXiP4,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=L9BdvcTwmzQ,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,135,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=LA9yFdhMxmQ,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,2,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=LA9yFdhMxmQ,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,398,monetize,0.249364,1.2412,0.2,0.247608,CAD,http://www.youtube.com/watch?v=LQUDaljbWEY,Paper Touching,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,108,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=LQUDaljbWEY,Paper Touching,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,6,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=Lj24JGZiQcg,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,8,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=LtCuAKPdPQA,Paper Touching,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,0,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=LtCuAKPdPQA,Paper Touching,Demolition Volume 1,iRapproduction,Luigi
